,SGX: Turnover: Shares: Total,Foreign Exchange Market: SGD: Total Turnover
Region,Singapore,Singapore
Subnational,,
Frequency,"Daily, ""5 observation""",Monthly
Unit,Share mn,SGD mn
Source,The Business Times,Monetary Authority of Singapore
Status,Active,Active
Series ID,35960701 (SDIGA),471805317 (SZOADDABEAAANS)
SR Code,SR763792,SR154104557
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,08/31/1998,07/01/2021
Last Obs. Date,03/30/2026,02/01/2026
Last Update Time,31/03/2026,31/03/2026
Series Remarks,,
Suggestions,,
10/03/2002,211.782,
10/04/2002,236.958,
10/07/2002,205.56,
10/08/2002,371.611,
10/09/2002,255.181,
10/10/2002,290.25,
10/11/2002,336.43,
10/14/2002,218.235,
10/15/2002,569.571,
10/16/2002,469.841,
10/17/2002,627.059,
10/18/2002,651.663,
10/21/2002,347.134,
10/22/2002,384.954,
10/23/2002,425.078,
10/24/2002,378.867,
10/25/2002,667.484,
10/28/2002,575.954,
10/29/2002,361.222,
10/30/2002,257.972,
10/31/2002,295.586,
11/01/2002,293.262,
11/05/2002,292.33,
11/06/2002,298.993,
11/07/2002,241.391,
11/08/2002,216.009,
11/11/2002,193.628,
11/12/2002,248.906,
11/13/2002,300.768,
11/14/2002,229.121,
11/15/2002,333.972,
11/18/2002,191.749,
11/19/2002,208.823,
11/20/2002,233.198,
11/21/2002,254.565,
11/22/2002,512.26,
11/25/2002,431.796,
11/26/2002,248.57,
11/27/2002,332.322,
11/28/2002,532.004,
11/29/2002,502.593,
12/02/2002,285.235,
12/03/2002,332.651,
12/04/2002,352.374,
12/05/2002,289.589,
12/09/2002,250.068,
12/10/2002,310.641,
12/11/2002,276.446,
12/12/2002,263.382,
12/13/2002,250.573,
