,SGX: Turnover: Shares: Total,Foreign Exchange Market: SGD: Total Turnover
Region,Singapore,Singapore
Subnational,,
Frequency,"Daily, ""5 observation""",Monthly
Unit,Share mn,SGD mn
Source,The Business Times,Monetary Authority of Singapore
Status,Active,Active
Series ID,35960701 (SDIGA),471805317 (SZOADDABEAAANS)
SR Code,SR763792,SR154104557
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,08/31/1998,07/01/2021
Last Obs. Date,03/30/2026,02/01/2026
Last Update Time,31/03/2026,31/03/2026
Series Remarks,,
Suggestions,,
05/22/2007,2461.824,
05/23/2007,2781.186,
05/24/2007,2348.92,
05/25/2007,2604.787,
05/28/2007,2488.546,
05/29/2007,1864.178,
05/30/2007,2496.574,
06/01/2007,2203.834,
06/04/2007,2299.139,
06/05/2007,2540.738,
06/06/2007,3048.669,
06/07/2007,3013.226,
06/08/2007,4178.29,
06/11/2007,4541.227,
06/12/2007,2987.128,
06/13/2007,4231.774,
06/14/2007,3411.862,
06/15/2007,3227.776,
06/18/2007,3652.925,
06/19/2007,3967.878,
06/20/2007,5674.219,
06/21/2007,4461.108,
06/22/2007,4431.321,
06/25/2007,4840.017,
06/26/2007,3871.1,
06/27/2007,3978.074,
06/28/2007,3434.874,
06/29/2007,4010.279,
07/02/2007,3675.107,
07/03/2007,3958.961,
07/04/2007,4074.745,
07/05/2007,4473.291,
07/06/2007,4073.052,
07/09/2007,4573.962,
07/10/2007,4247.357,
07/11/2007,3795.502,
07/12/2007,3926.747,
07/13/2007,4167.404,
07/16/2007,4627.771,
07/17/2007,6413.378,
07/18/2007,9126.042,
07/19/2007,4544.153,
07/20/2007,3833.518,
07/23/2007,3662.88,
07/24/2007,3878.727,
07/25/2007,3640.815,
07/26/2007,3675.57,
07/27/2007,4024.788,
07/30/2007,2761.111,
07/31/2007,3499.449,
08/01/2007,4878.152,
08/02/2007,3020.596,
08/03/2007,2489.245,
08/06/2007,2570.488,
08/07/2007,2478.033,
08/08/2007,2233.662,
08/10/2007,2211.164,
08/13/2007,1993.132,
08/14/2007,2471.117,
08/15/2007,2375.476,
08/16/2007,2715.119,
08/17/2007,3545.145,
08/20/2007,2472.893,
08/21/2007,2040.376,
08/22/2007,1774.719,
08/23/2007,2758.753,
08/24/2007,1551.895,
08/27/2007,1989.966,
08/28/2007,2199.188,
08/29/2007,2120.29,
08/30/2007,2433.053,
08/31/2007,1860.898,
09/03/2007,1524.041,
09/04/2007,1750.313,
09/05/2007,1992.966,
09/06/2007,2314.411,
09/07/2007,3096.788,
09/10/2007,2367.015,
09/11/2007,2711.711,
09/12/2007,2424.71,
09/13/2007,2301.039,
09/14/2007,1832.234,
09/17/2007,1987.96,
09/18/2007,1875.601,
09/19/2007,2466.578,
09/20/2007,1877.774,
09/21/2007,1718.51,
09/24/2007,2259.561,
09/25/2007,2283.463,
09/26/2007,2266.793,
09/27/2007,2905.619,
09/28/2007,3073.331,
10/01/2007,4024.594,
10/02/2007,4092.524,
10/03/2007,3236.816,
10/04/2007,3701.128,
10/05/2007,4770.288,
10/08/2007,4576.293,
10/09/2007,2947.04,
10/10/2007,2987.591,
10/11/2007,2754.695,
10/12/2007,2566.777,
10/15/2007,2609.12,
10/16/2007,3215.385,
10/17/2007,2839.895,
10/18/2007,2713.375,
10/19/2007,2094.625,
10/22/2007,2419.847,
10/23/2007,1986.152,
10/24/2007,2313.06,
10/25/2007,2405.302,
10/26/2007,2455.087,
10/29/2007,2566.698,
10/30/2007,2196.786,
10/31/2007,2022.007,
11/01/2007,2738.451,
11/02/2007,2359.728,
11/05/2007,2162.38,
11/06/2007,2137.42,
11/07/2007,2112.78,
11/09/2007,2237.563,
11/12/2007,2097.568,
11/13/2007,2134.484,
11/14/2007,2189.252,
11/15/2007,1903.767,
11/16/2007,1730.856,
11/19/2007,1575.95,
11/20/2007,2185.186,
11/21/2007,1762.556,
11/22/2007,1713.549,
11/23/2007,1368.952,
11/26/2007,1607.229,
11/27/2007,1675.161,
11/28/2007,1432.45,
11/29/2007,1698.149,
11/30/2007,1938.693,
12/03/2007,1430.411,
12/04/2007,1342.878,
12/05/2007,2286.198,
12/06/2007,2318.383,
12/07/2007,1778.064,
12/10/2007,1392.476,
12/11/2007,1345.994,
12/12/2007,1470.479,
12/13/2007,1613.442,
12/14/2007,2079.465,
12/17/2007,1372.086,
12/18/2007,1827.062,
12/19/2007,1643.888,
12/21/2007,1512.067,
12/24/2007,724.907,
12/26/2007,1285.485,
12/27/2007,1192.816,
12/28/2007,1210.859,
12/31/2007,918.335,
01/02/2008,1416.587,
01/03/2008,1548.247,
01/04/2008,2012.865,
01/07/2008,1643.15,
01/08/2008,1903.333,
01/09/2008,2038.939,
01/10/2008,1923.329,
01/11/2008,2002.182,
01/14/2008,1926.81,
01/15/2008,1988.928,
01/16/2008,2427.994,
01/17/2008,2564.596,
01/18/2008,2080.075,
01/21/2008,2160.647,
01/22/2008,2774.641,
01/23/2008,2385.757,
01/24/2008,2438.823,
01/25/2008,2045.951,
01/28/2008,1363.889,
01/29/2008,1311.513,
01/30/2008,1428.631,
01/31/2008,1670.998,
02/01/2008,1551.971,
02/04/2008,1522.129,
02/05/2008,1560.478,
02/06/2008,806.503,
02/11/2008,1089.058,
02/12/2008,1492.825,
02/13/2008,1710.385,
02/14/2008,1625.903,
02/15/2008,1885.144,
02/18/2008,1944.081,
02/19/2008,2017.432,
02/20/2008,1596.552,
02/21/2008,1406.215,
02/22/2008,1338.123,
02/25/2008,2055.655,
02/26/2008,1649.877,
02/27/2008,1531.639,
02/28/2008,1308.42,
02/29/2008,1461.9,
03/03/2008,1477.438,
03/04/2008,1306.955,
03/05/2008,1369.072,
03/06/2008,1297.153,
03/07/2008,1404.034,
03/10/2008,1301.432,
03/11/2008,1516.949,
03/12/2008,1638.164,
03/13/2008,1563.867,
03/14/2008,1369.072,
03/17/2008,1276.216,
03/18/2008,1595.503,
03/19/2008,1633.164,
03/20/2008,1517.528,
03/24/2008,1227.024,
03/25/2008,2345.248,
03/26/2008,1480.418,
03/27/2008,1496.947,
03/28/2008,1907.835,
03/31/2008,1617.006,
04/01/2008,1796.179,
04/02/2008,2006.211,
04/03/2008,1693.761,
04/04/2008,1372.188,
04/07/2008,1760.113,
04/08/2008,2048.456,
04/09/2008,1600.442,
04/10/2008,1511.986,
04/11/2008,1313.233,
04/14/2008,1122.902,
04/15/2008,1094.825,
04/16/2008,1250.542,
04/17/2008,1434.073,
04/18/2008,1188.653,
04/21/2008,1428.172,
04/22/2008,1653.787,
04/23/2008,1887.874,
04/24/2008,2315.407,
04/25/2008,1763.787,
04/28/2008,1353.63,
04/29/2008,1219.389,
04/30/2008,1349.453,
05/02/2008,1475.096,
05/05/2008,1442.203,
05/06/2008,1539.014,
05/07/2008,2057.19,
05/08/2008,1603.022,
05/09/2008,1443.332,
05/12/2008,1147.972,
05/13/2008,1312.765,
05/14/2008,1386.521,
05/15/2008,1516.03,
05/16/2008,1616.23,
05/20/2008,1949.714,
05/21/2008,2178.265,
05/22/2008,1795.6,
05/23/2008,1652.044,
05/26/2008,1207.812,
05/27/2008,1146.416,
05/28/2008,1185.558,
05/29/2008,1236.903,
05/30/2008,1944.085,
06/02/2008,1491.573,
06/03/2008,1130.834,
06/04/2008,1242.717,
06/05/2008,1010.352,
06/06/2008,1034.802,
06/09/2008,1039.149,
06/10/2008,1141.51,
06/11/2008,1128.011,
06/12/2008,1288.423,
06/13/2008,1590.885,
06/16/2008,1257.863,
06/17/2008,1278.945,
06/18/2008,1635.206,
06/19/2008,1080.962,
06/20/2008,1150.727,
06/23/2008,1062.761,
06/24/2008,1013.524,
06/25/2008,1030.137,
06/26/2008,1117.728,
06/27/2008,1086.156,
06/30/2008,1013.671,
07/01/2008,878.03,
07/02/2008,1204.198,
07/03/2008,1153.469,
07/04/2008,889.985,
07/07/2008,1040.882,
07/08/2008,1139.595,
07/09/2008,1151.669,
07/10/2008,1240.975,
07/11/2008,1284.749,
07/14/2008,1043.699,
07/15/2008,1207.43,
07/16/2008,935.351,
07/17/2008,1036.014,
07/18/2008,1070.119,
07/21/2008,1000.002,
07/22/2008,831.985,
07/23/2008,1381.809,
07/24/2008,1121.846,
07/25/2008,840.263,
07/28/2008,752.322,
07/29/2008,957.451,
07/30/2008,987.708,
07/31/2008,1031.476,
08/01/2008,1049.603,
08/04/2008,979.598,
08/05/2008,1376.627,
08/06/2008,1037.319,
08/07/2008,1267.223,
08/08/2008,1050.298,
08/11/2008,1007.847,
08/12/2008,1173.357,
08/13/2008,1057.872,
08/14/2008,1142.445,
08/15/2008,936.124,
08/18/2008,961.054,
08/19/2008,899.185,
08/20/2008,1070.922,
08/21/2008,863.259,
08/22/2008,648.758,
08/25/2008,764.655,
08/26/2008,861.939,
08/27/2008,764.426,
08/28/2008,807.072,
08/29/2008,995.816,
09/01/2008,639.538,
09/02/2008,860.695,
09/03/2008,900.285,
09/04/2008,1225.832,
09/05/2008,1103.22,
09/08/2008,985.169,
09/09/2008,764.914,
09/10/2008,1068.845,
09/11/2008,1123.304,
09/12/2008,952.814,
09/15/2008,928.806,
09/16/2008,1390.836,
09/17/2008,1162.249,
09/18/2008,1653.251,
09/19/2008,2152.12,
09/22/2008,1533.288,
09/23/2008,886.799,
09/24/2008,1126.1,
09/25/2008,882.858,
09/26/2008,961.811,
09/29/2008,1012.8,
09/30/2008,1446.771,
10/02/2008,1164.266,
10/03/2008,908.953,
10/06/2008,1147.111,
10/07/2008,1246.429,
10/08/2008,1456.234,
10/09/2008,1343.809,
10/10/2008,1605.995,
10/13/2008,1606.146,
10/14/2008,1852.392,
10/15/2008,1146.995,
10/16/2008,1425.844,
10/17/2008,1272.278,
10/20/2008,1106.39,
10/21/2008,1207.321,
10/22/2008,1081.138,
10/23/2008,1178.539,
10/24/2008,1373.362,
10/28/2008,1505.454,
10/29/2008,1456.573,
10/30/2008,1834.656,
10/31/2008,1620.753,
11/03/2008,1652.547,
11/04/2008,2032.446,
11/05/2008,2332.668,
11/06/2008,1128.403,
11/07/2008,1522.767,
11/10/2008,1430.509,
11/11/2008,1354.458,
11/12/2008,1143.812,
11/13/2008,958.272,
11/14/2008,985.055,
11/17/2008,777,
11/18/2008,1011.625,
11/19/2008,1068.34,
11/20/2008,963.269,
11/21/2008,1180.58,
11/24/2008,798.515,
11/25/2008,1099.792,
11/26/2008,875.926,
11/27/2008,1159.185,
11/28/2008,1266.374,
12/01/2008,953.697,
12/02/2008,756.152,
12/03/2008,1039.176,
12/04/2008,1199.477,
12/05/2008,874.186,
12/09/2008,1478.068,
12/10/2008,1795.607,
12/11/2008,1373.561,
12/12/2008,1050.677,
12/15/2008,942.937,
12/16/2008,793.781,
12/17/2008,1087.489,
12/18/2008,903.184,
12/19/2008,998.327,
12/22/2008,746.14,
12/23/2008,641.14,
12/24/2008,327.117,
12/26/2008,280.636,
12/29/2008,460.595,
12/30/2008,669.132,
12/31/2008,461.291,
01/02/2009,962.037,
01/05/2009,1861.72,
01/06/2009,1606.584,
01/07/2009,2121.478,
01/08/2009,1001.576,
01/09/2009,1606.953,
01/12/2009,909.516,
01/13/2009,1025.89,
01/14/2009,922.921,
01/15/2009,1080.264,
01/16/2009,840.543,
01/19/2009,872.179,
01/20/2009,852.967,
01/21/2009,841.883,
01/22/2009,869.978,
01/23/2009,699.108,
01/28/2009,653.329,
01/29/2009,861.136,
01/30/2009,835.331,
02/02/2009,778.855,
02/03/2009,656.577,
02/04/2009,812.268,
02/05/2009,897.232,
02/06/2009,1053.601,
02/09/2009,891.199,
02/10/2009,808.278,
02/11/2009,931.285,
02/12/2009,835.406,
02/13/2009,787.734,
02/16/2009,705.306,
02/17/2009,890.081,
02/18/2009,834.987,
02/19/2009,658.349,
02/20/2009,697.14,
02/23/2009,773.675,
02/24/2009,1008.143,
02/25/2009,1038.472,
02/26/2009,941.159,
02/27/2009,1229.569,
03/02/2009,1148.359,
03/03/2009,1059.221,
03/04/2009,1103.686,
03/05/2009,1073.824,
03/06/2009,801.769,
03/09/2009,839.066,
03/10/2009,980.869,
03/11/2009,1081.189,
03/12/2009,1066.15,
03/13/2009,1391.532,
03/16/2009,995.5,
03/17/2009,1006.628,
03/18/2009,904.543,
03/19/2009,884.775,
03/20/2009,1002.676,
03/23/2009,1710.293,
03/24/2009,1710.113,
03/25/2009,1274.483,
03/26/2009,1568.148,
03/27/2009,1711.139,
03/30/2009,1064.757,
03/31/2009,1327.002,
04/01/2009,827.16,
04/02/2009,1831.457,
04/03/2009,1843.147,
04/06/2009,1986.494,
04/07/2009,1224.471,
04/08/2009,1083.893,
04/09/2009,1646.772,
04/13/2009,1384.04,
04/14/2009,2191.268,
04/15/2009,3523.691,
04/16/2009,3797.191,
04/17/2009,2007.568,
04/20/2009,1722.778,
04/21/2009,1604.794,
04/22/2009,1723.466,
04/23/2009,1559.728,
04/24/2009,1442.963,
04/27/2009,1774.9,
04/28/2009,1388.677,
04/29/2009,1524.007,
04/30/2009,2018.161,
05/04/2009,2828.695,
05/05/2009,3093.591,
05/06/2009,3944.149,
05/07/2009,4032.848,
05/08/2009,5188.433,
05/11/2009,4047.877,
05/12/2009,2702.685,
05/13/2009,3821.621,
05/14/2009,2309.701,
05/15/2009,3102.891,
05/18/2009,2359.767,
05/19/2009,2531.505,
05/20/2009,2992.838,
05/21/2009,2571.743,
05/22/2009,2428.757,
05/25/2009,2887.329,
05/26/2009,2763.366,
05/27/2009,4251.36,
05/28/2009,2294.897,
05/29/2009,3017.809,
06/01/2009,3544.668,
06/02/2009,3884.824,
06/03/2009,3521.844,
06/04/2009,2850.385,
06/05/2009,3536.537,
06/08/2009,3598.83,
06/09/2009,2451.419,
06/10/2009,2344.532,
06/11/2009,2241.48,
06/12/2009,1779.446,
06/15/2009,1955.174,
06/16/2009,2239.052,
06/17/2009,1866.916,
06/18/2009,1686.244,
06/19/2009,1567.637,
06/22/2009,1512.825,
06/23/2009,1335.56,
06/24/2009,1203.941,
06/25/2009,1395.29,
06/26/2009,1425.172,
06/29/2009,1062.941,
06/30/2009,1267.85,
07/01/2009,768.798,
07/02/2009,1394.12,
07/03/2009,1087.4,
07/06/2009,1266.628,
07/07/2009,1130.176,
07/08/2009,1639.346,
07/09/2009,1288.49,
07/10/2009,949.527,
07/13/2009,1059.577,
07/14/2009,917.49,
07/15/2009,1797.673,
07/16/2009,1982.442,
07/17/2009,1633.529,
07/20/2009,2154.407,
07/21/2009,2109.955,
07/22/2009,1900.215,
07/23/2009,2100.651,
07/24/2009,2446.846,
07/27/2009,3200.608,
07/28/2009,3266.512,
07/29/2009,2963.747,
07/30/2009,2132.455,
07/31/2009,2848.446,
08/03/2009,2382.087,
08/04/2009,2639.364,
08/05/2009,2446.272,
08/06/2009,2432.029,
08/07/2009,2014.969,
08/11/2009,2156.425,
08/12/2009,2336.85,
08/13/2009,2869.271,
08/14/2009,2560.066,
08/17/2009,2343.147,
08/18/2009,2229.013,
08/19/2009,2565.431,
08/20/2009,2356.682,
08/21/2009,2534.151,
08/24/2009,2880.002,
08/25/2009,3653.609,
08/26/2009,3194.303,
08/27/2009,3323.135,
08/28/2009,2662.348,
08/31/2009,2766.69,
09/01/2009,3092.746,
09/02/2009,2604.766,
09/03/2009,2827.529,
09/04/2009,2796.788,
09/07/2009,2407.847,
09/08/2009,2664.301,
09/09/2009,2181.021,
09/10/2009,2715.277,
09/11/2009,2073.944,
09/14/2009,2413.869,
09/15/2009,2114.767,
09/16/2009,2725.055,
09/17/2009,2502.361,
09/18/2009,2185.211,
09/22/2009,2437.297,
09/23/2009,3350.716,
09/24/2009,2740.87,
09/25/2009,3471.741,
09/28/2009,2647.012,
09/29/2009,2545.023,
09/30/2009,2521.158,
10/01/2009,1920.314,
10/02/2009,2316.639,
10/05/2009,2356.73,
10/06/2009,1852.817,
10/07/2009,2180.271,
10/08/2009,2043.586,
10/09/2009,1891.741,
10/12/2009,1482.623,
10/13/2009,1914.169,
10/14/2009,2404.487,
10/15/2009,2694.985,
10/16/2009,1664.749,
10/19/2009,1695.709,
10/20/2009,1995.568,
10/21/2009,1503.91,
10/22/2009,1770.621,
10/23/2009,1568.115,
10/26/2009,1272.201,
10/27/2009,1528.475,
10/28/2009,1611.055,
10/29/2009,1740.786,
10/30/2009,1791.601,
11/02/2009,1257.737,
11/03/2009,1287.137,
11/04/2009,1137.926,
11/05/2009,1417.755,
11/06/2009,1241.999,
11/09/2009,1243.806,
11/10/2009,1425.968,
11/11/2009,1148.418,
11/12/2009,1293.932,
11/13/2009,1148.978,
11/16/2009,1864.521,
11/17/2009,1282.301,
11/18/2009,1479.525,
11/19/2009,1288.755,
11/20/2009,1154.144,
11/23/2009,1307.219,
11/24/2009,1419.872,
11/25/2009,1361.516,
11/26/2009,1134.275,
11/30/2009,1740.599,
12/01/2009,1236.417,
12/02/2009,1264.98,
12/03/2009,1398.708,
12/04/2009,1249.167,
12/07/2009,1277.935,
12/08/2009,1754.856,
12/09/2009,2138.908,
12/10/2009,1594.777,
12/11/2009,1262.592,
12/14/2009,1208.597,
12/15/2009,1236.058,
12/16/2009,1333.861,
12/17/2009,1408.028,
12/18/2009,1275.861,
12/21/2009,1045.595,
12/22/2009,1219.12,
12/23/2009,1062.848,
12/24/2009,521.309,
12/28/2009,1233.492,
12/29/2009,1682.252,
12/30/2009,1764.973,
12/31/2009,1152.414,
01/04/2010,2206.98,
01/05/2010,3214.503,
01/06/2010,2659.7,
01/07/2010,2778.984,
01/08/2010,2563.29,
01/11/2010,3097.765,
01/12/2010,2867.818,
01/13/2010,2254.155,
01/14/2010,2388.297,
01/15/2010,1679.314,
01/18/2010,1719.395,
01/19/2010,1900.528,
01/20/2010,2133.986,
01/21/2010,2277.198,
01/22/2010,2897.943,
01/25/2010,1980.927,
01/26/2010,2818.102,
01/27/2010,2511.882,
01/28/2010,1589.357,
01/29/2010,1773.262,
02/01/2010,1346.432,
02/02/2010,1606.866,
02/03/2010,1704.948,
02/04/2010,1274.3,
02/05/2010,2173.937,
02/08/2010,1668.288,
02/09/2010,1366.105,
02/10/2010,1319.629,
02/11/2010,1206.329,
02/12/2010,1217.652,
02/17/2010,1415.439,
02/18/2010,1377.256,
02/19/2010,1412.075,
02/22/2010,1124.386,
02/23/2010,1194.603,
02/24/2010,1205,
02/25/2010,1272.278,
02/26/2010,1290.834,
03/01/2010,1481.754,
03/02/2010,1310.476,
03/03/2010,1300.156,
03/04/2010,1206.236,
03/05/2010,1354.232,
03/08/2010,1465.277,
03/09/2010,1178.208,
03/10/2010,1661.793,
03/11/2010,1475.578,
03/12/2010,1367.191,
03/15/2010,1032.012,
03/16/2010,1148.31,
03/17/2010,1700.53,
03/18/2010,1331.359,
03/19/2010,1065.147,
03/22/2010,1064.627,
03/23/2010,1353.864,
03/24/2010,1724.08,
03/25/2010,1307.815,
03/26/2010,1544.945,
03/29/2010,1358.446,
03/30/2010,1445.002,
03/31/2010,1661.174,
04/01/2010,1422.714,
04/05/2010,1562.165,
04/06/2010,1596.981,
04/07/2010,3076.445,
04/08/2010,2336.623,
04/09/2010,2669.914,
04/12/2010,2664.243,
04/13/2010,2026.217,
04/14/2010,2566.796,
04/15/2010,2280.099,
04/16/2010,1866.36,
04/19/2010,1970.662,
04/20/2010,1912.353,
04/21/2010,2054.887,
04/22/2010,1725.852,
04/23/2010,1739.867,
04/26/2010,2066.012,
04/27/2010,1764.602,
04/28/2010,1729.872,
04/29/2010,1913.976,
04/30/2010,1841.012,
05/03/2010,1306.985,
05/04/2010,1836.179,
05/05/2010,2039.191,
05/06/2010,2155.766,
05/07/2010,2153.101,
05/10/2010,1769.682,
05/11/2010,1814.896,
05/12/2010,1518.87,
05/13/2010,1682.849,
05/14/2010,1256.626,
05/17/2010,1354.615,
05/18/2010,1083.695,
05/19/2010,1511.391,
05/20/2010,1760.745,
05/21/2010,1501.569,
05/24/2010,1084.467,
05/25/2010,1617.313,
05/26/2010,1671.333,
05/27/2010,1509.966,
05/31/2010,1146.829,
06/01/2010,1078.101,
06/02/2010,962.849,
06/03/2010,1430.985,
06/04/2010,927.005,
06/07/2010,790.828,
06/08/2010,942.864,
06/09/2010,884.919,
06/10/2010,940.872,
06/11/2010,906.992,
06/14/2010,731.318,
06/15/2010,1490.991,
06/16/2010,1334.576,
06/17/2010,934.279,
06/18/2010,964.265,
06/21/2010,1535.492,
06/22/2010,1139.553,
06/23/2010,1202.433,
06/24/2010,1504.512,
06/25/2010,994.418,
06/28/2010,900.202,
06/29/2010,1398.132,
06/30/2010,1307.581,
07/01/2010,1021.083,
07/02/2010,1260.989,
07/05/2010,980.143,
07/06/2010,1173.649,
07/07/2010,1349.579,
07/08/2010,1254.164,
07/09/2010,1919.04,
07/12/2010,1021.987,
07/13/2010,1060.838,
07/14/2010,1544.961,
07/15/2010,1333.041,
07/16/2010,1297.957,
07/19/2010,1030.565,
07/20/2010,1224.199,
07/21/2010,1323.788,
07/22/2010,1116.279,
07/23/2010,1473.695,
07/26/2010,1334.483,
07/27/2010,1596.387,
07/28/2010,1637.583,
07/29/2010,1405.779,
07/30/2010,1410.887,
08/02/2010,1803.271,
08/03/2010,2253.945,
08/04/2010,1601.665,
08/05/2010,1911.376,
08/06/2010,1571.359,
08/10/2010,1402.742,
08/11/2010,1676.14,
08/12/2010,2471.969,
08/13/2010,2565.204,
08/16/2010,1854.375,
08/17/2010,1471.02,
08/18/2010,1614.98,
08/19/2010,1941.041,
08/20/2010,1295.008,
08/23/2010,1341.566,
08/24/2010,1459.781,
08/25/2010,1165.147,
08/26/2010,1329.877,
08/27/2010,1365.888,
08/30/2010,1387.357,
08/31/2010,1668.63,
09/01/2010,1662.419,
09/02/2010,1724.623,
09/03/2010,1454.328,
09/06/2010,1938.683,
09/07/2010,1310.864,
09/08/2010,1674.488,
09/09/2010,1376.724,
09/13/2010,1637.087,
09/14/2010,2199.283,
09/15/2010,2603.85,
09/16/2010,1932.216,
09/17/2010,2231.071,
09/20/2010,2158.273,
09/21/2010,2814.845,
09/22/2010,3477.294,
09/23/2010,2176.73,
09/24/2010,2376.515,
09/27/2010,2523.461,
09/28/2010,2527.927,
09/29/2010,1982.333,
09/30/2010,1660.572,
10/01/2010,1773.826,
10/04/2010,2166.88,
10/05/2010,1909.934,
10/06/2010,2176.709,
10/07/2010,1553.29,
10/08/2010,1813.38,
10/11/2010,2376.261,
10/12/2010,1911.192,
10/13/2010,2493.161,
10/14/2010,2041.879,
10/15/2010,1577.769,
10/18/2010,2301.031,
10/19/2010,1859.862,
10/20/2010,1903.304,
10/21/2010,2492.775,
10/22/2010,1863.234,
10/25/2010,1885.887,
10/26/2010,1657.165,
10/27/2010,2116.59,
10/28/2010,3282.795,
10/29/2010,1781.125,
11/01/2010,1841.353,
11/02/2010,1406.338,
11/03/2010,2000.208,
11/04/2010,2037.387,
11/08/2010,2969.2,
11/09/2010,2581.347,
11/10/2010,2414.571,
11/11/2010,2035.777,
11/12/2010,2446.51,
11/15/2010,1713.018,
11/16/2010,1529.873,
11/18/2010,1817.069,
11/19/2010,1252.744,
11/22/2010,1182.345,
11/23/2010,2037.747,
11/24/2010,1633.614,
11/25/2010,1108.385,
11/26/2010,1169.24,
11/29/2010,1152.496,
11/30/2010,1360.978,
12/01/2010,1277.867,
12/02/2010,1472.385,
12/03/2010,1147.064,
12/06/2010,1069.386,
12/07/2010,1298.929,
12/08/2010,1378.475,
12/09/2010,1514.812,
12/10/2010,1185.172,
12/13/2010,1518.921,
12/14/2010,1694.46,
12/15/2010,1482.152,
12/16/2010,1116.027,
12/17/2010,1231.271,
12/20/2010,1084.339,
12/21/2010,815.603,
12/22/2010,1119.412,
12/23/2010,832.868,
12/24/2010,493.643,
12/27/2010,646.042,
12/28/2010,1238.221,
12/29/2010,1397.015,
12/30/2010,1143.004,
12/31/2010,676.128,
01/03/2011,2176.66,
01/04/2011,2226.798,
01/05/2011,2040.403,
01/06/2011,2100.849,
01/07/2011,2452.026,
01/10/2011,2137.22,
01/11/2011,2050.849,
01/12/2011,1877.416,
01/13/2011,2066.777,
01/14/2011,1910.615,
01/17/2011,1799.384,
01/18/2011,1600.675,
01/19/2011,1726.962,
01/20/2011,2096.21,
01/21/2011,1805.055,
01/24/2011,1462.88,
01/25/2011,1799.852,
01/26/2011,1887.177,
01/27/2011,1580.53,
01/28/2011,1354.318,
01/31/2011,1412.192,
02/01/2011,1050.143,
02/02/2011,942.049,
02/07/2011,1401.336,
02/08/2011,1325.305,
02/09/2011,1423.596,
02/10/2011,1468.296,
02/11/2011,1673.539,
02/14/2011,1158.783,
02/15/2011,1609.264,
02/16/2011,1207.468,
02/17/2011,1139.689,
02/18/2011,1413.831,
02/21/2011,1287.61,
02/22/2011,2071.664,
02/23/2011,2543.949,
02/24/2011,1446.731,
02/25/2011,1265.689,
02/28/2011,1508.233,
03/01/2011,1636.001,
03/02/2011,1301.497,
03/03/2011,1304.801,
03/04/2011,1205.115,
03/07/2011,1098.611,
03/08/2011,1214.278,
03/09/2011,1134.69,
03/10/2011,1000.495,
03/11/2011,1301.843,
03/14/2011,979.357,
03/15/2011,2234.337,
03/16/2011,1321.47,
03/17/2011,1211.814,
03/18/2011,1765.893,
03/21/2011,1401.233,
03/22/2011,1325.869,
03/23/2011,1479.481,
03/24/2011,1430.936,
03/25/2011,1358.116,
03/28/2011,985.72,
03/29/2011,1136.283,
03/30/2011,1641.093,
03/31/2011,1716.886,
04/01/2011,1422.692,
04/04/2011,1394.951,
04/05/2011,1366.184,
04/06/2011,1739.957,
04/07/2011,1678.54,
04/08/2011,1818.159,
04/11/2011,1316.584,
04/12/2011,1377.89,
04/13/2011,1542.357,
04/14/2011,1263.67,
04/15/2011,1296.422,
04/18/2011,1292.175,
04/19/2011,1132.736,
04/20/2011,1495.952,
04/21/2011,1494.773,
04/25/2011,1078.403,
04/26/2011,1051.577,
04/27/2011,1362.39,
04/28/2011,1061.8,
04/29/2011,1083.406,
05/03/2011,1142.405,
05/04/2011,1296.6,
05/05/2011,1228.398,
05/06/2011,1016.728,
05/09/2011,921.996,
05/10/2011,992.329,
05/11/2011,1220.42,
05/12/2011,1165.599,
05/13/2011,1328.216,
05/16/2011,1000.979,
05/18/2011,1354.264,
05/19/2011,1315.137,
05/20/2011,1263.438,
05/23/2011,1332.861,
05/24/2011,1149.512,
05/25/2011,1249.025,
05/26/2011,1138.169,
05/27/2011,1327.011,
05/30/2011,851.794,
05/31/2011,1131.597,
06/01/2011,961.067,
06/02/2011,915.201,
06/03/2011,1139.855,
06/06/2011,989.701,
06/07/2011,1256.671,
06/08/2011,1126.872,
06/09/2011,1193.226,
06/10/2011,1093.843,
06/13/2011,1066.297,
06/14/2011,911.26,
06/15/2011,924.501,
06/16/2011,1127.64,
06/17/2011,1142.533,
06/20/2011,980.268,
06/21/2011,1172.018,
06/22/2011,1072.072,
06/23/2011,938.864,
06/24/2011,1019.731,
06/27/2011,854.69,
06/28/2011,1122.913,
06/29/2011,1167.642,
06/30/2011,1463.56,
07/01/2011,1109.517,
07/04/2011,1339.69,
07/05/2011,1097.498,
07/06/2011,1203.186,
07/07/2011,1278.343,
07/08/2011,1683.923,
07/11/2011,1165.107,
07/12/2011,1470.702,
07/13/2011,1309.071,
07/14/2011,1124.701,
07/15/2011,1189.981,
07/18/2011,1264.711,
07/19/2011,1551.545,
07/20/2011,1711.588,
07/21/2011,1577.936,
07/22/2011,1606.156,
07/25/2011,1169.762,
07/26/2011,1442.014,
07/27/2011,1746.181,
07/28/2011,1779.281,
07/29/2011,1825.029,
08/01/2011,1493.232,
08/02/2011,1668.516,
08/03/2011,1828.611,
08/04/2011,1354.284,
08/05/2011,2865.182,
08/08/2011,2530.346,
08/10/2011,2568.855,
08/11/2011,2677.244,
